🌙月光宝盒,#genre#
重温经典,http://125.210.150.58:9090/live/hzgq-cwjdgq-h264.m3u8
華視,rtmp://f13h.mine.nu/sat/tv111
中視,rtmp://f13h.mine.nu/sat/tv091
台視,rtmp://f13h.mine.nu/sat/tv071
民視,rtmp://f13h.mine.nu/sat/tv051
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
ELEVEN体育3,rtmp://f13h.mine.nu/sat/tv751
探索,http://61.221.215.25:8800/hls/1/index.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
动漫,http://61.221.215.25:8800/hls/40/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
NHK,http://61.221.215.25:8800/hls/51/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物世界,http://61.221.215.25:8800/hls/57/index.m3u8
湖南爱晚,http://222.241.154.37:9901/tsfile/live/23022_1.m3u8
湖南电视剧,http://222.241.154.37:9901/tsfile/live/23026_1.m3u8
湖南电影,http://222.241.154.37:9901/tsfile/live/23025_1.m3u8
湖南都市,http://222.241.154.37:9901/tsfile/live/23021_1.m3u8
湖南国际,http://222.241.154.37:9901/tsfile/live/23024_1.m3u8
湖南经视,http://222.241.154.37:9901/tsfile/live/23020_1.m3u8
湖南娱乐,http://222.241.154.37:9901/tsfile/live/23023_1.m3u8
湖南教育,http://222.241.154.37:9901/tsfile/live/23027_1.m3u8
CCTV1,http://125.210.152.19:9121/live/hzgq-cctv1gq-h264.m3u8
CCTV2,http://125.210.152.19:9121/live/hzgq-cctv2gq-h264.m3u8
CCTV3,http://125.210.152.19:9121/live/hzgq-cctv3gq-h264.m3u8
CCTV4,http://125.210.152.19:9121/live/hzgq-cctv4gq-h264.m3u8
CCTV5,http://125.210.152.19:9121/live/hzgq-cctv5gq-h264.m3u8
CCTV5+,http://125.210.152.19:9121/live/hzgq-cctvzhgq-h264.m3u8
CCTV6,http://125.210.152.19:9121/live/hzgq-cctv6gq-h264.m3u8
CCTV7,http://125.210.152.19:9121/live/hzgq-cctv7gq-h264.m3u8
CTV8,http://125.210.152.19:9121/live/hzgq-cctv8gq-h264.m3u8
CCTV9,http://125.210.152.19:9121/live/hzgq-cctvjlgq-h264.m3u8
CCTV10,http://125.210.152.19:9121/live/hzgq-cctv10gq-h264.m3u8
CCTV11,http://125.210.152.19:9121/live/hzgq-cctv11gq-h264.m3u8
CCTV12,http://125.210.152.19:9121/live/hzgq-cctv12gq-h264.m3u8
CCTV13,http://125.210.152.19:9121/live/hzgq-cctvnewsgq-h264.m3u8
CCTV14,http://125.210.152.19:9121/live/hzgq-cctvsegq-h264.m3u8
CCTV15,http://125.210.152.19:9121/live/hzgq-cctvmusicgq-h264.m3u8
CCTV16,http://125.210.152.19:9121/live/hzgq-cctv16gq-h264.m3u8
CCTV17,http://125.210.152.19:9121/live/hzgq-cctv17gq-h264.m3u8

CGTN,http://125.210.152.19:9121/live/hszx-cctvgj-h264.m3u8
CETV4,http://125.210.152.19:9121/live/hszx-CETV-4-h264.m3u8

宝盒央卫,#genre#
CCTV1,http://125.70.163.227:8888/udp/239.93.0.184:5140

CCTV2,http://125.70.163.227:8888/udp/239.93.1.23:6000

CCTV3,http://125.70.163.227:8888/udp/239.93.1.11:2223

CCTV4,http://125.70.163.227:8888/udp/239.93.1.105:5140

CCTV5,http://125.70.163.227:8888/udp/239.93.1.12:2224

CCTV6,http://125.70.163.227:8888/udp/239.93.1.13:2226

CCTV7,http://125.70.163.227:8888/udp/239.93.1.67:5140

CCTV8,http://125.70.163.227:8888/udp/239.93.42.39:5140

CCTV9,http://125.70.163.227:8888/udp/239.93.1.24:5140

CCTV10,http://125.70.163.227:8888/udp/239.93.1.28:5140

CCTV11,http://125.70.163.227:8888/udp/239.93.0.102:5140

CCTV12,http://125.70.163.227:8888/udp/239.93.1.30:8124

CCTV13,http://125.70.163.227:8888/udp/239.93.0.66:5140

CCTV14,http://125.70.163.227:8888/udp/239.93.1.29:6000

CCTV15,http://125.70.163.227:8888/udp/239.93.0.103:5140

CCTV16,http://125.70.163.227:8888/udp/239.93.42.53:5140

CCTV17,http://125.70.163.227:8888/udp/239.93.0.92:5140

CCTV1杜比,http://125.70.163.227:8888/udp/239.93.0.69:5140

CCTV5＋,http://125.70.163.227:8888/udp/239.93.1.36:8004

CGTN英语,http://125.70.163.227:8888/udp/239.93.0.104:5140

绚影4K,http://125.70.163.227:8888/udp/239.93.42.33:5140

无台标4K,http://125.70.163.227:8888/udp/239.93.0.43:5140

爱上4K,http://125.70.163.227:8888/udp/239.93.0.97:5140

爱上4K,http://125.70.163.227:8888/udp/239.93.1.251:8224

4K电影,http://125.70.163.227:8888/udp/239.93.1.156:5140

中录动漫4K,http://125.70.163.227:8888/udp/239.93.1.188:5140

亲子趣学4K,http://125.70.163.227:8888/udp/239.93.1.191:5140

津津悦读4K,http://125.70.163.227:8888/udp/239.93.1.197:5140

军情观察4K,http://125.70.163.227:8888/udp/239.93.1.198:5140

CCTV16 4K,http://125.70.163.227:8888/udp/239.93.42.54:5140

CCTV16 4K,http://125.70.163.227:8888/udp/239.93.42.63:5140

四川卫视,http://125.70.163.227:8888/udp/239.93.0.20:1235

CDTV-1,http://125.70.163.227:8888/udp/239.93.0.16:5140

湖南卫视,http://125.70.163.227:8888/udp/239.93.0.88:5140

江苏卫视,http://125.70.163.227:8888/udp/239.93.0.89:5140

浙江卫视,http://125.70.163.227:8888/udp/239.93.0.124:5140

东方卫视,http://125.70.163.227:8888/udp/239.93.0.123:5140

北京卫视,http://125.70.163.227:8888/udp/239.93.0.180:5140

深圳卫视,http://125.70.163.227:8888/udp/239.93.0.182:5140

广东卫视,http://125.70.163.227:8888/udp/239.93.0.181:5140

天津卫视,http://125.70.163.227:8888/udp/239.93.0.167:5140

山东卫视,http://125.70.163.227:8888/udp/239.93.0.168:5140

SCTV2,http://125.70.163.227:8888/udp/239.93.1.101:5140

SCTV3,http://125.70.163.227:8888/udp/239.93.1.102:5140

SCTV4,http://125.70.163.227:8888/udp/239.93.0.47:5140

SCTV5,http://125.70.163.227:8888/udp/239.93.0.166:5140

SCTV6,http://125.70.163.227:8888/udp/239.93.1.144:5140

SCTV7,http://125.70.163.227:8888/udp/239.93.0.219:5140

SCTV科教,http://125.70.163.227:8888/udp/239.93.42.44:5140

四川乡村,http://125.70.163.227:8888/udp/239.93.0.52:5140

峨眉电影,http://125.70.163.227:8888/udp/239.93.1.54:5140

康巴卫视,http://125.70.163.227:8888/udp/239.93.0.41:5140

江西卫视,http://125.70.163.227:8888/udp/239.93.0.134:5140

东南卫视 ,http://125.70.163.227:8888/udp/239.93.0.42:5140

黑龙江卫视,http://125.70.163.227:8888/udp/239.93.0.183:5140

